client_id,visit_id,process_step,date_time,variation,tenure_years,age
9655476,101822764_25803298242_795564,start,2017-04-26 15:49:48,Control,15.0,52.0
9655476,101822764_25803298242_795564,start,2017-04-26 15:49:48,Control,15.0,52.0
7031318,552541561_23830734249_451108,confirm,2017-03-29 13:19:38,Control,25.0,68.5
7031318,552541561_23830734249_451108,confirm,2017-03-29 13:19:38,Control,25.0,68.5
4291714,478281944_50638702354_730117,start,2017-04-27 18:27:08,Control,10.0,31.0
4291714,478281944_50638702354_730117,start,2017-04-27 18:27:08,Control,10.0,31.0
94510,624814900_38176598924_488296,start,2017-04-28 07:08:51,Control,9.0,45.0
94510,624814900_38176598924_488296,start,2017-04-28 07:08:51,Control,9.0,45.0
3875281,140567587_81788015194_362470,start,2017-04-27 13:22:22,Control,24.0,57.0
3875281,140567587_81788015194_362470,start,2017-04-27 13:22:22,Control,24.0,57.0
9010408,440939927_67019734152_246543,start,2017-04-27 19:39:11,Control,5.0,53.0
9010408,440939927_67019734152_246543,start,2017-04-27 19:39:11,Control,5.0,53.0
9010408,440939927_67019734152_246543,start,2017-04-27 18:56:06,Control,5.0,53.0
9010408,440939927_67019734152_246543,start,2017-04-27 18:56:06,Control,5.0,53.0
4749697,222236837_84826561587_786254,start,2017-04-26 09:34:00,Control,7.0,54.0
4749697,222236837_84826561587_786254,start,2017-04-26 09:34:00,Control,7.0,54.0
4738551,897468365_77737698120_109287,start,2017-04-26 22:34:49,Control,7.0,72.0
4738551,897468365_77737698120_109287,start,2017-04-26 22:34:49,Control,7.0,72.0
4738551,897468365_77737698120_109287,start,2017-04-26 22:32:51,Control,7.0,72.0
4738551,897468365_77737698120_109287,start,2017-04-26 22:32:51,Control,7.0,72.0
8731340,390771678_68197495164_410992,start,2017-04-28 16:16:14,Control,4.0,46.5
8731340,390771678_68197495164_410992,start,2017-04-28 16:16:14,Control,4.0,46.5
2174418,634781151_69336897069_544769,confirm,2017-04-18 08:08:43,Control,6.0,54.5
2174418,634781151_69336897069_544769,confirm,2017-04-18 08:08:43,Control,6.0,54.5
4508245,620681604_51311248130_620074,start,2017-04-28 08:12:09,Control,12.0,37.5
4508245,620681604_51311248130_620074,start,2017-04-28 08:12:09,Control,12.0,37.5
7698544,726395858_15021891449_765520,start,2017-04-30 21:44:39,Control,4.0,31.0
7698544,726395858_15021891449_765520,start,2017-04-30 21:44:39,Control,4.0,31.0
175625,424473056_71350403523_987445,start,2017-04-28 11:45:37,Test,7.0,46.0
